Project #,Request Status,Queue Date,Withdrawn Date,Done Date,Appl In Service Date,Transmission Owner,County,State,County FIPS Code,Study Cycle,Study Group,Study Phase,Service Type,POI Name,Summer MW,Winter MW,Fuel,Generating Facility,Post GIA Status,Negotiated In Service Date,Decision Point 1 ERIS MW,Decision Point 1 NRIS MW,Decision Point 2 ERIS MW,Decision Point 2 NRIS MW
J741,Withdrawn,11/14/16,8/9/19,,9/1/19,Montana-Dakota Utilities Company,"Emmons County,Logan County",ND,#N/A,DPP-2017-FEB,West,GIA,NRIS,Wishek - Linton 115kV,51,51,Wind,WT Wind Turbine,Not Started,,50.4,50.4,0,0
J742,Withdrawn,11/14/16,7/21/17,,8/1/20,Northern States Power (Xcel Energy),"Cottonwood County, Murray County",MN,#N/A,FeS-2016-NOV,,Feasibility,NRIS,Unknown,211,211,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J744,Withdrawn,11/14/16,4/12/17,,6/1/20,Northern States Power (Xcel Energy),Lincoln County,SD,46083,FeS-2016-NOV,,Feasibility,NRIS,Unknown,400,400,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J745,Withdrawn,11/14/16,4/9/19,,6/1/21,Northern States Power (Xcel Energy),Nobles County,MN,27105,DPP-2017-FEB,West,GIA,NRIS,Nobles-Fenton 115kV,100,100,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J746,Withdrawn,11/14/16,8/9/19,,8/1/20,Great River Energy,"McHenry County,McLean County,Ward County",ND,#N/A,DPP-2017-FEB,West,GIA,NRIS,Stanton-McHenry 230kV,200,200,Wind,WT Wind Turbine,Not Started,,200,200,0,0
J747,Withdrawn,11/14/16,4/9/19,,10/1/17,Otter Tail Power Company,Deuel County,SD,46039,DPP-2017-FEB,West,GIA,NRIS,Brooking County - Big Stone South (J510 Tap - J630 Tap) 345kV Line,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J748,Done,11/14/16,,3/20/20,10/1/20,MidAmerican Energy Company,Plymouth County,IA,19149,DPP-2017-FEB,West,GIA,NRIS,Highland - Raun 345kV Line Tap,200,200,Wind,WT Wind Turbine,Under Construction,10/1/21,200,200,200,175
J749,Withdrawn,11/14/16,5/1/18,,9/1/18,"Michigan Electric Transmission Company, LLC",Gratiot County,MI,26057,DPP-2017-FEB,East (ITC),GIA,NRIS,Redstone 138 kV Substation,20,20,Battery Storage,,Not Started,,0,0,0,0
J751,Withdrawn,11/14/16,6/6/17,,8/15/19,Ameren Illinois,Adams County,IL,17001,FeS-2016-NOV,,Feasibility,NRIS,Unknown,150,150,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J752,Done,11/14/16,,10/10/19,1/2/20,ITC Transmission,Tuscola County,MI,26157,DPP-2017-FEB,East (ITC),GIA,NRIS,Ringle 345kV Switchyard,100,100,Wind,WT Wind Turbine,In Service,10/4/19,100,100,0,0
J753,Done,11/14/16,,3/8/19,4/1/21,Big Rivers Electric Corporation,Breckinridge County,KY,21027,DPP-2017-FEB,Central,GIA,NRIS,Hardinsburg Sub 161kV,100,100,Solar,PV Photovoltaic,Under Construction,4/1/21,100,100,100,100
J754,Withdrawn,11/14/16,9/30/20,4/11/19,3/8/19,Duke Energy Corporation,Montgomery County,IN,18107,DPP-2017-FEB,Central,GIA,NRIS,Cayuga - Nucor 345kV,303.6,303.6,Wind,WT Wind Turbine,Withdrawn,4/30/20,303.6,303.6,303.6,303.6
J755,Withdrawn,11/14/16,6/20/17,,3/8/19,Montana-Dakota Utilities Company,Bowman County,ND,38011,FeS-2016-NOV,,Feasibility,NRIS,Unknown,200.1,200.1,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J756,Done,11/14/16,,3/26/19,8/15/19,Ameren Illinois,Logan County,IL,17107,DPP-2017-FEB,Central,GIA,NRIS,Mason City to Fogarty 138kV,202.4,202.4,Wind,WT Wind Turbine,In Service,4/23/20,202.4,202.4,202.4,202.4
J757,Done,11/14/16,,5/31/19,8/14/20,Ameren Transmission Company of Illinois,"Morgan County,Sangamon County",IL,#N/A,DPP-2017-FEB,Central,GIA,NRIS,Austin-Meredosia 345kV line,303.6,303.6,Wind,WT Wind Turbine,Under Construction,10/31/21,303.6,303.6,303.6,303.6
J758,Done,11/14/16,,10/25/19,10/1/18,"Michigan Electric Transmission Company, LLC",Calhoun County,MI,26025,DPP-2017-FEB,East (ITC),GIA,NRIS,Verona-Foundry 138kV,200,200,Solar,PV Photovoltaic,Under Construction,4/8/22,200,200,200,200
J759,Done,11/14/16,,2/15/19,4/1/21,"Hoosier Energy REC, Inc.",Spencer County,IN,18147,DPP-2017-FEB,Central,GIA,NRIS,Troy 161kV Sub,70,70,Solar,PV Photovoltaic,Under Construction,7/2/20,70,69.9,70,69.9
J760,Done,11/14/16,,3/27/19,4/8/19,American Transmission Co. LLC,Rock County,WI,55105,DPP-2017-FEB,East (ATC),GIA,NRIS,New Kitty Hawk 345kV substation,30,30,Gas,CT Combustion Turbine (Simple Cycle),In Service,,30,30,30,30
J761,Withdrawn,11/14/16,4/9/19,,9/15/20,ITC Midwest,Faribault County,MN,27043,DPP-2017-FEB,West,GIA,NRIS,Huntley 345 kV sub,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J762,Done,11/14/16,,3/8/19,4/1/21,Big Rivers Electric Corporation,Meade County,KY,21163,DPP-2017-FEB,Central,GIA,NRIS,Meade Sub 161kV,200,200,Solar,PV Photovoltaic,Under Construction,4/1/21,200,200,200,200
J763,Withdrawn,11/14/16,7/21/17,,1/1/18,ITC Midwest,"Hancock County, Winnebago County",IA,#N/A,FeS-2016-NOV,,Feasibility,NRIS,Unknown,5.28,5.28,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J764,Withdrawn,11/14/16,7/21/17,,1/1/18,ITC Midwest,Story County,IA,19169,FeS-2016-NOV,,Feasibility,NRIS,Unknown,12,12,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J765,Withdrawn,11/14/16,7/21/17,,1/1/18,American Transmission Co. LLC,Dodge County,WI,55027,FeS-2016-NOV,,Feasibility,NRIS,Unknown,4.32,4.32,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J766,Withdrawn,11/14/16,4/9/19,,1/1/18,"Minnesota Power (Allete, Inc.)",Oliver County,ND,38065,DPP-2017-FEB,West,GIA,NRIS,Square Butte 230kV Substation,3.84,3.84,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J767,Withdrawn,11/14/16,8/9/19,,1/1/19,ITC Midwest,Hancock County,IA,19081,DPP-2017-FEB,West,GIA,NRIS,Lime Creek 161 kV substation,12,12,Wind,WT Wind Turbine,Not Started,,12,12,0,0
J768,Withdrawn,11/14/16,8/9/19,,1/1/19,ITC Midwest,Story County,IA,19169,DPP-2017-FEB,West,GIA,NRIS,Story County Substation,12,12,Wind,WT Wind Turbine,Not Started,,12,12,0,0
J769,Withdrawn,11/14/16,4/9/19,,7/31/19,Northern States Power (Xcel Energy),Renville County,MN,27129,DPP-2017-FEB,West,GIA,NRIS,Kingman Run-Bird Island 69kV,33,33,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J770,Withdrawn,11/14/16,4/9/19,,7/31/19,Northern States Power (Xcel Energy),Renville County,MN,27129,DPP-2017-FEB,West,GIA,NRIS,Bird Island to Henryville Tap 69kV Line,90,90,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J771,Withdrawn,11/14/16,4/9/19,,7/31/19,Great River Energy,Stearns County,MN,27145,DPP-2017-FEB,West,GIA,NRIS,Lake Koronis-Paynesville 69kV,50,50,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J772,Withdrawn,11/14/16,7/21/17,,1/1/18,ITC Midwest,"Cerro Gordo County, Hancock County",IA,#N/A,FeS-2016-NOV,,Feasibility,NRIS,Unknown,7.4,7.4,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J773,Withdrawn,11/14/16,7/21/17,,9/15/19,Northern States Power (Xcel Energy),"Codington County, Deuel County",SD,#N/A,FeS-2016-NOV,,Feasibility,NRIS,Unknown,400,400,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J774,Withdrawn,11/14/16,7/21/17,,9/15/19,Northern States Power (Xcel Energy),"Codington County, Deuel County",SD,#N/A,FeS-2016-NOV,,Feasibility,NRIS,Unknown,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J775,Withdrawn,11/14/16,7/21/17,,9/15/19,Northern States Power (Xcel Energy),"Codington County, Deuel County",SD,#N/A,FeS-2016-NOV,,Feasibility,NRIS,Unknown,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J776,Withdrawn,11/14/16,4/9/19,,11/1/19,MidAmerican Energy Company,Franklin County,IA,19069,DPP-2017-FEB,West,GIA,NRIS,Black Hawk-Killdeer 345kV,99,99,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J777,Withdrawn,11/14/16,8/9/19,,11/1/19,ITC Midwest,Franklin County,IA,19069,DPP-2017-FEB,West,GIA,NRIS,Whispering Willow 161kV substation,99,99,Wind,WT Wind Turbine,Not Started,,99,99,0,0
J778,Withdrawn,11/14/16,7/21/17,,1/1/18,Ameren Illinois,McLean County,IL,17113,FeS-2016-NOV,,Feasibility,NRIS,Unknown,12,12,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J779,Withdrawn,11/14/16,8/9/19,,9/1/19,Montana-Dakota Utilities Company,"Emmons County,Logan County",ND,#N/A,DPP-2017-FEB,West,GIA,NRIS,Bismarck-Linton 115kV,51,51,Wind,WT Wind Turbine,Not Started,,50.4,50.4,0,0
J780,Withdrawn,11/14/16,4/9/19,,12/15/20,Otter Tail Power Company,Sheridan County,ND,38083,DPP-2017-FEB,West,GIA,NRIS,Harvey - Underwood 230kV Line,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J781,Withdrawn,11/14/16,6/16/17,,8/1/18,Northern States Power (Xcel Energy),"Kandiyohi County, Meeker County",MN,#N/A,FeS-2016-NOV,,Feasibility,NRIS,Willmar - Paynesville 230kV,170,170,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J782,Withdrawn,11/14/16,5/31/18,,4/1/21,Ameren Missouri,Stoddard County,MO,29207,DPP-2017-FEB,Central,GIA,NRIS,Stoddart sub 161kV,100,100,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J783,Done,11/14/16,,7/24/19,4/1/21,"Southern Indiana Gas & Electric Company d/b/a Vectren Energy Delivery of Indiana, Inc.",Spencer County,IN,18147,DPP-2017-FEB,Central,GIA,NRIS,Grandview Sub,70,70,Solar,PV Photovoltaic,Under Construction,4/1/21,70,69.9,70,69.9
J784,Withdrawn,11/14/16,6/15/17,,11/1/18,Northern States Power (Xcel Energy),Renville County,MN,27129,FeS-2016-NOV,,Feasibility,ERIS,Unknown,39.96,39.96,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J786,Withdrawn,12/20/16,7/21/17,,9/1/19,ITC Transmission,Tuscola County,MI,26157,,,,NRIS,Unknown,10,10,Battery Storage,BS Battery Storage,Not Started,,0,0,0,0
J787,Done,12/22/16,,1/3/17,6/1/18,Consumers Energy Transmission Owner,Manistee County,MI,26101,,,DPP - SIS,NRIS,filer city substation,0,0,Gas,CT Combustion Turbine (Simple Cycle),In Service,9/15/19,0,0,0,0
J788,Done,2/17/17,,2/23/17,9/15/17,Northern States Power (Xcel Energy),Lincoln County,MN,27081,,,,ERIS,Brookings County - Lyon County,0,0,Wind,WT Wind Turbine,Under Construction,,0,0,0,0
J789,Done,2/27/17,,6/19/17,,Northern States Power (Xcel Energy),Nobles County,MN,27105,,,DPP - SIS,NRIS,Fenton Substation,0,0,Wind,WT Wind Turbine,In Service,7/1/17,0,0,0,0
J790,Done,3/24/17,,,9/1/18,Northern States Power (Xcel Energy),Pipestone County,MN,27117,,,Out of Cycle,NRIS,"4 miles north of Holland, MN56139",0,0,Wind,WT Wind Turbine,In Service,5/1/19,0,0,0,0
J791,Done,4/24/17,,5/8/17,10/31/17,South Mississippi Electric Power Association,Lamar County,MS,28073,,,Out of Cycle,ERIS,Sumrall  II Substation,52,52,Solar,PV Photovoltaic,Under Construction,10/1/20,0,0,0,0
J792,Done,5/15/17,,5/23/17,2/15/20,Entergy,Washington Parish,LA,22117,,,Out of Cycle,NRIS,230 kV Adams Creek Switchyard,0,0,Gas,CT Combustion Turbine (Simple Cycle),In Service,3/21/21,0,0,0,0
G517,Withdrawn,6/16/17,10/24/19,,4/15/21,ITC Midwest,Cottonwood County,MN,27033,DPP-2017-AUG,West,PHASE 3,ERIS,Summit Switch Station - South Storden 69 kV line,130,130,Wind,WT Wind Turbine,Not Started,10/1/06,0,0,0,0
J203,Withdrawn,6/16/17,1/9/19,,9/1/12,ITC Transmission,Sanilac County,MI,26151,DPP-2017-AUG,East (ITC),GIA,NRIS,Greenwood - Banner 345kV Line Tap,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J310,Withdrawn,6/16/17,2/11/19,,9/1/17,Southern Minnesota Municipal Power Agency,"Dodge County,Steele County",MN,#N/A,DPP-2017-AUG,West,PHASE 3,NRIS,West Owatonna-AL Corn Dist-Byron 161kV Line,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J418,Withdrawn,6/16/17,1/7/19,,11/1/16,Entergy,Polk County,TX,48373,DPP-2017-AUG,South,GIA,NRIS,Rich - Livingston 138kV Line,100,100,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J447,Withdrawn,6/16/17,10/24/19,,7/1/21,ITC Midwest,Cerro Gordo County,IA,19033,DPP-2017-AUG,West,PHASE 3,NRIS,Emery 161 kV Substation,150,150,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J467,Withdrawn,6/16/17,1/8/19,,11/15/17,Ameren Illinois,Douglas County,IL,17041,DPP-2017-AUG,Central,GIA,NRIS,Sidnay-Kansas 345kV Line,102,102,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J478,Withdrawn,6/16/17,4/17/19,,7/1/18,Duke Energy Corporation,Clinton County,IN,18023,DPP-2017-AUG,Central,GIA,NRIS,Thorntown - New London - Kokomo 230kV Line,200,200,Wind,WT Wind Turbine,Not Started,,200,200,0,0
J502,Withdrawn,6/16/17,1/7/19,,9/1/19,Entergy,Orange County,TX,48361,DPP-2017-AUG,South,GIA,NRIS,McLewis 230 kV Substation,100,100,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J545,Active,6/16/17,,,8/31/20,Northern States Power (Xcel Energy),Lincoln County,MN,27081,DPP-2017-AUG,West,PHASE 3,ERIS,Buffalo 115kV Substation,110,110,Wind,WT Wind Turbine,Not Started,,110,0,110,0
J579,Withdrawn,6/16/17,1/9/19,,10/1/18,"Michigan Electric Transmission Company, LLC",Allegan County,MI,26005,DPP-2017-AUG,East (ITC),GIA,NRIS,Argenta 345kV Substation,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J580,Withdrawn,6/16/17,1/29/21,,9/15/21,Montana-Dakota Utilities Company,Burleigh County,ND,38015,DPP-2017-AUG,West,PHASE 3,ERIS,Nepoleon Sub 230kV,298,298,Wind,WT Wind Turbine,Not Started,,298,0,0,0
J625,Withdrawn,6/16/17,2/4/19,,9/15/19,Northern States Power (Xcel Energy),"Meeker County,Renville County",MN,#N/A,DPP-2017-AUG,West,PHASE 3,NRIS,Blue Lake 345kV Substation,400,400,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J628,Active,6/16/17,,,7/1/22,Great River Energy,"Grand Forks County,Nelson County",ND,#N/A,DPP-2017-AUG,West,PHASE 3,ERIS,Ramsey - Prairie 230kV Line Tap,400,400,Wind,WT Wind Turbine,Not Started,,400,400,400,0
J632,Withdrawn,6/16/17,1/9/19,,9/15/18,"Michigan Electric Transmission Company, LLC","Berrien County,Van Buren County",MI,#N/A,DPP-2017-AUG,East (ITC),GIA,NRIS,Argenta - Plaisades 345kV Line,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J639,Done,6/16/17,,12/2/19,4/1/19,Entergy,West Baton Rouge Parish,LA,22121,DPP-2017-AUG,South,GIA,NRIS,Addis - Big Cajun 230kV Line,50,50,Solar,PV Photovoltaic,Under Construction,11/25/20,50,50,50,50
J640,Withdrawn,6/16/17,1/7/19,,4/1/19,Entergy,St. Helena Parish,LA,22091,DPP-2017-AUG,South,GIA,NRIS,Amite - Liberty 115kV Line,50,50,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J659,Withdrawn,6/16/17,1/7/19,,4/1/19,Entergy,Franklin Parish,LA,22041,DPP-2017-AUG,South,GIA,NRIS,Winnsboro to Gilbert 115 kV line,50,50,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J663,Done,6/16/17,,3/20/20,10/1/18,Entergy,Phillips County,AR,05107,DPP-2017-AUG,South,GIA,NRIS,Robert E Ritchie 230kV Substation,100,100,Solar,PV Photovoltaic,Under Construction,5/1/22,100,100,100,100
J697,Done,6/16/17,,11/25/19,10/15/22,Entergy,Morehouse Parish,LA,22067,DPP-2017-AUG,South,GIA,NRIS,Oak Ridge 115 kV Substation,150,150,Solar,PV Photovoltaic,Under Construction,10/15/22,150,150,150,150
J698,Withdrawn,6/16/17,1/7/19,,11/1/15,Entergy,Chicot County,AR,05017,DPP-2017-AUG,South,GIA,NRIS,Lake Village Bagby 115 kV Substation,150,150,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J701,Done,6/16/17,,5/6/20,9/15/17,ITC Transmission,Tuscola County,MI,26157,DPP-2017-AUG,East (ITC),GIA,NRIS,Rapson - Grasssmere - Bauer 345kV Line Tap (Kirk 345 kV Sub),49,49,Wind,WT Wind Turbine,In Service,10/1/18,49,49,49,49
J705,Withdrawn,6/16/17,1/29/21,,10/1/21,"Minnesota Power (Allete, Inc.)",Morton County,ND,38059,DPP-2017-AUG,West,PHASE 3,NRIS,Tri-county 230 kV substation,100,100,Wind,WT Wind Turbine,Not Started,,100,100,0,0
J706,Withdrawn,6/16/17,1/29/21,,10/1/21,"Minnesota Power (Allete, Inc.)",Morton County,ND,38059,DPP-2017-AUG,West,PHASE 3,NRIS,Tri-county 230kV sub,100,100,Wind,WT Wind Turbine,Not Started,,100,100,0,0
J713,Withdrawn,6/16/17,1/29/21,,9/15/20,"Minnesota Power (Allete, Inc.)",Oliver County,ND,38065,DPP-2017-AUG,West,PHASE 3,NRIS,Square Butte East 230kV Substation,300,300,Wind,WT Wind Turbine,Not Started,,300,300,0,0
J714,Withdrawn,6/16/17,4/17/19,,8/31/19,Duke Energy Corporation,Montgomery County,IN,18107,DPP-2017-AUG,Central,GIA,NRIS,Frankfurt - Cayuga 230kV line,200,200,Wind,WT Wind Turbine,Not Started,,192,192,0,0
J715,Done,6/16/17,,12/9/19,8/31/19,Ameren Illinois,Marshall County,IL,17123,DPP-2017-AUG,Central,GIA,NRIS,McLean County-Oglesby 138kV Line 1382,100,100,Wind,WT Wind Turbine,Not Started,5/1/21,98,98,98,98
J720,Withdrawn,6/16/17,1/29/21,,9/1/20,ITC Midwest,Jackson County,MN,27063,DPP-2017-AUG,West,PHASE 3,NRIS,Lakefield - Raun 345 kV line,200,200,Wind,WT Wind Turbine,Under Construction,9/1/21,200,200,0,0
J722,Active,6/16/17,,,9/15/21,Otter Tail Power Company,"Codington County,Deuel County",SD,#N/A,DPP-2017-AUG,West,PHASE 3,ERIS,Big Stone South 230kV Substation,200,200,Wind,WT Wind Turbine,Not Started,,200,200,200,0
J725,Withdrawn,6/16/17,2/15/19,,9/15/20,Great River Energy,Murray County,MN,27101,DPP-2017-AUG,West,PHASE 3,NRIS,Cedar Mountain 345 kV Substation,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J726,Withdrawn,6/16/17,11/19/18,,9/15/19,Great River Energy,Cottonwood County,MN,27033,DPP-2017-AUG,West,PHASE 3,NRIS,Cedar Mountain 345kV Substation,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J732,Done,6/16/17,,7/29/20,6/8/21,American Transmission Co. LLC,Douglas County,WI,55031,DPP-2017-AUG,East (ATC),GIA,NRIS,Arrowhead - Stone Lake 345kV Line,527.8,561.5,Combined Cycle,Combined Cycle,Under Construction,11/10/23,561.5,561.5,561.5,561.5
J743,Withdrawn,6/16/17,10/24/19,,7/31/20,Northern States Power (Xcel Energy),Cass County,ND,38017,DPP-2017-AUG,West,PHASE 3,NRIS,Bison 345kV Substation,200,200,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J750,Done,6/16/17,,1/14/20,8/15/19,"City of Springfield, IL - CWLP",Morgan County,IL,17137,DPP-2017-AUG,Central,GIA,NRIS,Westchester 138kV Substation,150,150,Wind,WT Wind Turbine,Under Construction,5/15/22,150,150,150,150
J785,Withdrawn,6/16/17,1/29/21,,9/15/21,ITC Midwest,"Jackson County,Martin County",MN,#N/A,DPP-2017-AUG,West,PHASE 3,NRIS,Lakefield Junction - Huntley 345 kV line (Tap),105,105,Wind,WT Wind Turbine,Not Started,,105,105,0,0
J793,Done,6/16/17,,10/26/20,5/14/21,ITC Transmission,St. Clair County,MI,26147,DPP-2017-AUG,East (ITC),GIA,NRIS,Belle River - Fitz #2 345 kV Line Tap,1175,1175,Combined Cycle,Combined Cycle,Under Construction,5/14/21,1209,1209,1209,1175
J794,Done,6/16/17,,6/18/20,9/10/18,"Michigan Electric Transmission Company, LLC",Gratiot County,MI,26057,DPP-2017-AUG,East (ITC),GIA,NRIS,J589 138kV Substation (Regal - Summerton 138kV Line),12.5,12.5,Wind,WT Wind Turbine,In Service,10/26/18,12.5,12.5,12.5,12.5
J795,Withdrawn,6/16/17,1/8/19,,9/1/19,Southern Illinois Power Cooperative,Gallatin County,IL,17059,DPP-2017-AUG,Central,GIA,NRIS,Gallatin Junction 161 kV Substation,69,69,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J796,Done,6/16/17,,6/12/20,9/1/19,"Michigan Electric Transmission Company, LLC",Shiawassee County,MI,26155,DPP-2017-AUG,East (ITC),GIA,NRIS,Goss 138kV Substation,239,239,Solar,PV Photovoltaic,Under Construction,11/20/20,239,239,239,239
J797,Withdrawn,6/16/17,5/30/18,,9/1/19,Ameren Illinois,Washington County,IL,17189,DPP-2017-AUG,Central,GIA,NRIS,Ashley 138 kV Substation,70,70,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J798,Withdrawn,6/16/17,1/8/19,,9/1/19,American Transmission Co. LLC,Walworth County,WI,55127,DPP-2017-AUG,East (ATC),GIA,NRIS,University - Mukwanago UNIG52 Line Tap,124,124,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J799,Done,6/16/17,,5/13/20,9/1/19,ITC Transmission,Washtenaw County,MI,26161,DPP-2017-AUG,East (ITC),GIA,NRIS,Milan - Pioneer 120kV Line Tap,189,189,Solar,PV Photovoltaic,Under Construction,11/11/21,189,189,189,189
J800,Done,6/16/17,,4/22/20,9/30/20,Ameren Illinois,White County,IL,17193,DPP-2017-AUG,Central,GIA,NRIS,Crossville West Substation 138kV Bus - Albion South - Norris City 138 kV Line,250,250,Solar,PV Photovoltaic,Under Construction,10/1/22,250,250,250,250
J801,Active,6/16/17,,,9/1/20,Dairyland Power Cooperative,Pierce County,WI,55093,DPP-2017-AUG,West,PHASE 3,ERIS,Crystal Cave-Rock Elm 161kV line tap,74,74,Solar,PV Photovoltaic,Not Started,,74,74,74,0
J802,Withdrawn,6/16/17,5/22/18,,9/1/20,Duke Energy Corporation,Vermillion County,IN,18165,DPP-2017-AUG,Central,GIA,NRIS,Cayuga 345 kV Substation,1244,1244,Combined Cycle,Combined Cycle,Not Started,,0,0,0,0
J803,Active,6/16/17,,,10/1/19,Northern States Power (Xcel Energy),Lyon County,MN,27083,DPP-2017-AUG,West,PHASE 3,ERIS,Tracy to Walnut Grove 69 kV line,32.5,32.5,Solar,PV Photovoltaic,Not Started,,32.5,0,32.5,0
J804,Withdrawn,6/16/17,4/16/18,,9/1/19,"Hoosier Energy REC, Inc.",Decatur County,IN,18031,DPP-2017-AUG,Central,GIA,NRIS,Decatur 138kV Substation,119,119,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J805,Done,6/16/17,,5/8/20,9/1/19,Duke Energy Corporation,Shelby County,IN,18145,DPP-2017-AUG,Central,GIA,NRIS,Gwynneville 345kV Substation,199,199,Solar,PV Photovoltaic,Under Construction,5/1/22,199,199,199,199
J806,Done,6/16/17,,5/11/20,9/1/19,"Michigan Electric Transmission Company, LLC",Calhoun County,MI,26025,DPP-2017-AUG,East (ITC),GIA,NRIS,Rice Creek - Vrooman 138kV Line Tap,149,149,Solar,PV Photovoltaic,Under Construction,6/1/21,149,149,149,149
J807,Withdrawn,6/16/17,5/26/20,10/17/19,9/15/20,American Transmission Co. LLC,Lafayette County,WI,55065,DPP-2017-AUG,East (ATC),GIA,NRIS,Darlington - Hillman 138kV Line (Falcon Substation J395),41.4,41.4,Wind,WT Wind Turbine,Withdrawn,8/27/21,41.4,41.4,41.4,41.4
J808,Done,6/16/17,,5/6/20,9/1/19,Ameren Illinois,Randolph County,IL,17157,DPP-2017-AUG,Central,GIA,NRIS,Aster Substation 138kV Bus,99,99,Solar,PV Photovoltaic,Under Construction,7/1/20,99,99,99,99
J809,Withdrawn,6/16/17,1/9/19,,9/1/19,"Michigan Electric Transmission Company, LLC",Ottawa County,MI,26139,DPP-2017-AUG,East (ITC),GIA,NRIS,Bass Creek - Black River 138 kV Line Tap,99,99,Solar,PV Photovoltaic,Not Started,,0,0,0,0
J810,Withdrawn,6/16/17,8/31/18,,4/1/23,MidAmerican Energy Company,Audubon County,IA,19009,DPP-2017-AUG,West,PHASE 3,NRIS,Atlantic to Adair 161 kV line,139.6,145.5,Gas,CT Combustion Turbine (Simple Cycle),Not Started,,0,0,0,0
J811,Done,6/16/17,,3/25/20,9/1/19,Ameren Illinois,Fayette County,IL,17051,DPP-2017-AUG,Central,GIA,NRIS,Ramsey East 138kV Substation,99,99,Solar,PV Photovoltaic,Under Construction,5/28/21,99,99,99,99
J812,Withdrawn,6/16/17,10/26/17,,6/16/17,"Michigan Electric Transmission Company, LLC",Van Buren County,MI,26159,DPP-2017-AUG,East (ITC),GIA,NRIS,Covert - Palisades 345kV Line,1108,1217,Combined Cycle,Combined Cycle,Not Started,,0,0,0,0
J813,Done,6/16/17,,12/16/19,9/30/20,Ameren Illinois,Clay County,IL,17025,DPP-2017-AUG,Central,GIA,NRIS,Louisville South Substation 138kV Line,275,275,Solar,PV Photovoltaic,Under Construction,10/29/21,250,250,250,250
J814,Withdrawn,6/16/17,2/4/19,,9/15/20,Northern States Power (Xcel Energy),Clark County,WI,55019,DPP-2017-AUG,West,PHASE 3,NRIS,Eau Claire - Arpin 345kV Line,99.9,99.9,Wind,WT Wind Turbine,Not Started,,0,0,0,0
J815,Done,6/16/17,,4/16/20,9/30/20,Ameren Illinois,Christian County,IL,17021,DPP-2017-AUG,Central,GIA,NRIS,Taylorville South-Austin (formerly Pawnee)138kV Line,250,250,Solar,PV Photovoltaic,Under Construction,10/28/22,250,250,250,250
J816,Withdrawn,6/16/17,1/29/21,,9/15/22,Otter Tail Power Company,Cass County,ND,38017,DPP-2017-AUG,West,PHASE 3,NRIS,Buffalo 115kV Substation,60,60,Solar,PV Photovoltaic,Not Started,,60,60,0,0
J817,Done,6/16/17,,12/17/19,9/1/19,Ameren Missouri,Warren County,MO,29219,DPP-2017-AUG,Central,GIA,NRIS,Warrenton 161kV Substation,139,139,Solar,PV Photovoltaic,Under Construction,10/29/21,139,139,139,139
J818,Done,6/16/17,,5/6/20,9/1/19,American Transmission Co. LLC,Jefferson County,WI,55055,DPP-2017-AUG,East (ATC),GIA,NRIS,Jefferson 138kV Substation,149,149,Solar,PV Photovoltaic,Under Construction,4/1/22,149,149,149,149
